path,scope,stage,verdict,relationship,transform_id,ancestor_path,ancestor_sha256,sha256_pre_s0,sha256_post_s02,sha256_post_s03,sha256_post_s04,sha256_post_s05,sha256_post_s06,sha256_post_s07,sha256_post_s08,size_bytes,is_python,parses,n_syntax_warnings,n_crlf,n_lf,n_nonascii,has_cookie,rationale
Connectomics/Construct_ADJ/Construct_ADJ.py,colab,-,retain,origin,,Connectomics/Construct_ADJ/Construct_ADJ.py,550f1d89a21e0fd9ef7cc4e8e9ab9243f0ef03ca64e34827e02a9b8bf0fcf0a5,550f1d89a21e0fd9ef7cc4e8e9ab9243f0ef03ca64e34827e02a9b8bf0fcf0a5,550f1d89a21e0fd9ef7cc4e8e9ab9243f0ef03ca64e34827e02a9b8bf0fcf0a5,550f1d89a21e0fd9ef7cc4e8e9ab9243f0ef03ca64e34827e02a9b8bf0fcf0a5,550f1d89a21e0fd9ef7cc4e8e9ab9243f0ef03ca64e34827e02a9b8bf0fcf0a5,550f1d89a21e0fd9ef7cc4e8e9ab9243f0ef03ca64e34827e02a9b8bf0fcf0a5,550f1d89a21e0fd9ef7cc4e8e9ab9243f0ef03ca64e34827e02a9b8bf0fcf0a5,550f1d89a21e0fd9ef7cc4e8e9ab9243f0ef03ca64e34827e02a9b8bf0fcf0a5,550f1d89a21e0fd9ef7cc4e8e9ab9243f0ef03ca64e34827e02a9b8bf0fcf0a5,4439,True,True,0,0,101,0,False,"colab scope; stays in the repository, outside the installed package"
Connectomics/Construct_ADJ/Microcircuit Assembly Documentation.pdf,colab,S0.7,discard,origin,T12,Connectomics/Construct_ADJ/Microcircuit Assembly Documentation.pdf,dec69a3bdff9f6310dfee79790a46b9d69a714a6a882f601726f3f5548a5c1f8,dec69a3bdff9f6310dfee79790a46b9d69a714a6a882f601726f3f5548a5c1f8,dec69a3bdff9f6310dfee79790a46b9d69a714a6a882f601726f3f5548a5c1f8,dec69a3bdff9f6310dfee79790a46b9d69a714a6a882f601726f3f5548a5c1f8,dec69a3bdff9f6310dfee79790a46b9d69a714a6a882f601726f3f5548a5c1f8,dec69a3bdff9f6310dfee79790a46b9d69a714a6a882f601726f3f5548a5c1f8,dec69a3bdff9f6310dfee79790a46b9d69a714a6a882f601726f3f5548a5c1f8,-,-,101049,False,False,0,1,519,49478,False,"Committed binary payload. TEEG_01 rev 2 section 3.2: not referenced by any code path. D-8: moves to a separate repository; no history rewriting; REMOVED from the working tree at S0.7 by T12, bytes recorded in tools/s0_transform/s07_discard_manifest.json"
Connectomics/Construct_ADJ/Plotting_function,colab,-,retain,origin,,Connectomics/Construct_ADJ/Plotting_function,1af3295bfe7a14c7ae1a20fb0e20f417e96f2f6ceb20b216c2f24e3202ad441f,1af3295bfe7a14c7ae1a20fb0e20f417e96f2f6ceb20b216c2f24e3202ad441f,1af3295bfe7a14c7ae1a20fb0e20f417e96f2f6ceb20b216c2f24e3202ad441f,1af3295bfe7a14c7ae1a20fb0e20f417e96f2f6ceb20b216c2f24e3202ad441f,1af3295bfe7a14c7ae1a20fb0e20f417e96f2f6ceb20b216c2f24e3202ad441f,1af3295bfe7a14c7ae1a20fb0e20f417e96f2f6ceb20b216c2f24e3202ad441f,1af3295bfe7a14c7ae1a20fb0e20f417e96f2f6ceb20b216c2f24e3202ad441f,1af3295bfe7a14c7ae1a20fb0e20f417e96f2f6ceb20b216c2f24e3202ad441f,1af3295bfe7a14c7ae1a20fb0e20f417e96f2f6ceb20b216c2f24e3202ad441f,5379,False,False,0,0,128,0,False,"colab scope; stays in the repository, outside the installed package"
Connectomics/Construct_ADJ/Usage_example.py,colab,-,retain,origin,,Connectomics/Construct_ADJ/Usage_example.py,5aebc98a68f6c4cff5e1a8d392d0032e7e03503ef1bb8ecde21beaf281e68508,5aebc98a68f6c4cff5e1a8d392d0032e7e03503ef1bb8ecde21beaf281e68508,5aebc98a68f6c4cff5e1a8d392d0032e7e03503ef1bb8ecde21beaf281e68508,5aebc98a68f6c4cff5e1a8d392d0032e7e03503ef1bb8ecde21beaf281e68508,5aebc98a68f6c4cff5e1a8d392d0032e7e03503ef1bb8ecde21beaf281e68508,5aebc98a68f6c4cff5e1a8d392d0032e7e03503ef1bb8ecde21beaf281e68508,5aebc98a68f6c4cff5e1a8d392d0032e7e03503ef1bb8ecde21beaf281e68508,5aebc98a68f6c4cff5e1a8d392d0032e7e03503ef1bb8ecde21beaf281e68508,5aebc98a68f6c4cff5e1a8d392d0032e7e03503ef1bb8ecde21beaf281e68508,1382,True,True,0,0,43,0,False,"colab scope; stays in the repository, outside the installed package"
Connectomics/Full_impementation,colab,-,retain,origin,,Connectomics/Full_impementation,e5f5fdef748d387e267d8d8150144ca860d6a76e1054b1cee25e122740b1bdd1,e5f5fdef748d387e267d8d8150144ca860d6a76e1054b1cee25e122740b1bdd1,e5f5fdef748d387e267d8d8150144ca860d6a76e1054b1cee25e122740b1bdd1,e5f5fdef748d387e267d8d8150144ca860d6a76e1054b1cee25e122740b1bdd1,e5f5fdef748d387e267d8d8150144ca860d6a76e1054b1cee25e122740b1bdd1,e5f5fdef748d387e267d8d8150144ca860d6a76e1054b1cee25e122740b1bdd1,e5f5fdef748d387e267d8d8150144ca860d6a76e1054b1cee25e122740b1bdd1,e5f5fdef748d387e267d8d8150144ca860d6a76e1054b1cee25e122740b1bdd1,e5f5fdef748d387e267d8d8150144ca860d6a76e1054b1cee25e122740b1bdd1,1685,False,False,0,0,54,0,False,"colab scope; stays in the repository, outside the installed package"
Connectomics/Generate Point Microcolumn/Population Generation Documentation (1).pdf,colab,S0.7,discard,origin,T12,Connectomics/Generate Point Microcolumn/Population Generation Documentation (1).pdf,be7956c4b022d6d99bab729cfbc97445b477e9a7ec5fa46739586d6500a60c37,be7956c4b022d6d99bab729cfbc97445b477e9a7ec5fa46739586d6500a60c37,be7956c4b022d6d99bab729cfbc97445b477e9a7ec5fa46739586d6500a60c37,be7956c4b022d6d99bab729cfbc97445b477e9a7ec5fa46739586d6500a60c37,be7956c4b022d6d99bab729cfbc97445b477e9a7ec5fa46739586d6500a60c37,be7956c4b022d6d99bab729cfbc97445b477e9a7ec5fa46739586d6500a60c37,be7956c4b022d6d99bab729cfbc97445b477e9a7ec5fa46739586d6500a60c37,-,-,103270,False,False,0,3,566,50375,False,"Committed binary payload. TEEG_01 rev 2 section 3.2: not referenced by any code path. D-8: moves to a separate repository; no history rewriting; REMOVED from the working tree at S0.7 by T12, bytes recorded in tools/s0_transform/s07_discard_manifest.json"
Connectomics/Generate Point Microcolumn/Usage_example.py,colab,-,retain,origin,,Connectomics/Generate Point Microcolumn/Usage_example.py,4c1226dcdce832a525b537ea07c67d7056484cdfcd2e0d021021444b175786c2,4c1226dcdce832a525b537ea07c67d7056484cdfcd2e0d021021444b175786c2,4c1226dcdce832a525b537ea07c67d7056484cdfcd2e0d021021444b175786c2,4c1226dcdce832a525b537ea07c67d7056484cdfcd2e0d021021444b175786c2,4c1226dcdce832a525b537ea07c67d7056484cdfcd2e0d021021444b175786c2,4c1226dcdce832a525b537ea07c67d7056484cdfcd2e0d021021444b175786c2,4c1226dcdce832a525b537ea07c67d7056484cdfcd2e0d021021444b175786c2,4c1226dcdce832a525b537ea07c67d7056484cdfcd2e0d021021444b175786c2,4c1226dcdce832a525b537ea07c67d7056484cdfcd2e0d021021444b175786c2,670,True,True,0,0,24,0,False,"colab scope; stays in the repository, outside the installed package"
Connectomics/Generate Point Microcolumn/generate_microcolumn_cells.py,colab,-,retain,origin,,Connectomics/Generate Point Microcolumn/generate_microcolumn_cells.py,d2ce64546d558fe9f58cfa6514cdb89136dd1c9eaeb2e77ee42855978722b849,d2ce64546d558fe9f58cfa6514cdb89136dd1c9eaeb2e77ee42855978722b849,d2ce64546d558fe9f58cfa6514cdb89136dd1c9eaeb2e77ee42855978722b849,d2ce64546d558fe9f58cfa6514cdb89136dd1c9eaeb2e77ee42855978722b849,d2ce64546d558fe9f58cfa6514cdb89136dd1c9eaeb2e77ee42855978722b849,d2ce64546d558fe9f58cfa6514cdb89136dd1c9eaeb2e77ee42855978722b849,d2ce64546d558fe9f58cfa6514cdb89136dd1c9eaeb2e77ee42855978722b849,d2ce64546d558fe9f58cfa6514cdb89136dd1c9eaeb2e77ee42855978722b849,d2ce64546d558fe9f58cfa6514cdb89136dd1c9eaeb2e77ee42855978722b849,4426,True,True,0,0,111,0,False,"colab scope; stays in the repository, outside the installed package"
Dendrite F score/README.md,colab,-,retain,origin,,Dendrite F score/README.md,f2eae84356fdedbb693e051f85db04c92a6fa7a2c85f0014a1ae5e8e9299135d,f2eae84356fdedbb693e051f85db04c92a6fa7a2c85f0014a1ae5e8e9299135d,f2eae84356fdedbb693e051f85db04c92a6fa7a2c85f0014a1ae5e8e9299135d,f2eae84356fdedbb693e051f85db04c92a6fa7a2c85f0014a1ae5e8e9299135d,f2eae84356fdedbb693e051f85db04c92a6fa7a2c85f0014a1ae5e8e9299135d,f2eae84356fdedbb693e051f85db04c92a6fa7a2c85f0014a1ae5e8e9299135d,f2eae84356fdedbb693e051f85db04c92a6fa7a2c85f0014a1ae5e8e9299135d,f2eae84356fdedbb693e051f85db04c92a6fa7a2c85f0014a1ae5e8e9299135d,f2eae84356fdedbb693e051f85db04c92a6fa7a2c85f0014a1ae5e8e9299135d,105,False,False,0,0,1,0,False,"colab scope; stays in the repository, outside the installed package"
Dendrite F score/morpholgy_pathways (6).py,colab,-,retain,origin,,Dendrite F score/morpholgy_pathways (6).py,4a097e88f00f3bda23e50826d2d611821aa4ef76345ec7e4a9e3468a9a1f058c,bd8cf4b341be103fb01f8eed66c003ae53ff49f6bd25e6b82c320ada7e8ab0df,bd8cf4b341be103fb01f8eed66c003ae53ff49f6bd25e6b82c320ada7e8ab0df,4a097e88f00f3bda23e50826d2d611821aa4ef76345ec7e4a9e3468a9a1f058c,4a097e88f00f3bda23e50826d2d611821aa4ef76345ec7e4a9e3468a9a1f058c,4a097e88f00f3bda23e50826d2d611821aa4ef76345ec7e4a9e3468a9a1f058c,4a097e88f00f3bda23e50826d2d611821aa4ef76345ec7e4a9e3468a9a1f058c,4a097e88f00f3bda23e50826d2d611821aa4ef76345ec7e4a9e3468a9a1f058c,4a097e88f00f3bda23e50826d2d611821aa4ef76345ec7e4a9e3468a9a1f058c,149523,True,True,0,0,3030,0,True,"colab scope; stays in the repository, outside the installed package"
Fetch Synapses/Fetch_MappedSyn.py,colab,-,retain,origin,,Fetch Synapses/Fetch_MappedSyn.py,81b9fef265111f0102e0c581ec56a3f944de995b32edd8d215f56692a8313fe6,81b9fef265111f0102e0c581ec56a3f944de995b32edd8d215f56692a8313fe6,81b9fef265111f0102e0c581ec56a3f944de995b32edd8d215f56692a8313fe6,81b9fef265111f0102e0c581ec56a3f944de995b32edd8d215f56692a8313fe6,81b9fef265111f0102e0c581ec56a3f944de995b32edd8d215f56692a8313fe6,81b9fef265111f0102e0c581ec56a3f944de995b32edd8d215f56692a8313fe6,81b9fef265111f0102e0c581ec56a3f944de995b32edd8d215f56692a8313fe6,81b9fef265111f0102e0c581ec56a3f944de995b32edd8d215f56692a8313fe6,81b9fef265111f0102e0c581ec56a3f944de995b32edd8d215f56692a8313fe6,2041,True,True,0,0,48,0,False,"colab scope; stays in the repository, outside the installed package"
